date,c1,c2,c3,c4,c5,c6,c7,c8,h1
01Jan2020,,,,,,,,1,
02Jan2020,,,,,,,,1,
03Jan2020,,,,,,,,1,
04Jan2020,,,,,,,,1,
05Jan2020,,,,,,,,1,
06Jan2020,,,,,,,,1,
07Jan2020,,,,,,,,1,
08Jan2020,,,,,,,,1,
09Jan2020,,,,,,,,1,
10Jan2020,,,,,,,,1,
11Jan2020,,,,,,,,1,
12Jan2020,,,,,,,,1,
13Jan2020,,,,,,,,1,
14Jan2020,,,,,,,,1,
15Jan2020,,,,,,,,1,
16Jan2020,,,,,,,,1,
17Jan2020,,,,,,,,1,
18Jan2020,,,,,,,,1,
19Jan2020,,,,,,,,1,
20Jan2020,,,,,,,,1,1
21Jan2020,,,,,,,,1,1
22Jan2020,,,,,,,,1,1
23Jan2020,,,,,,,,1,1
24Jan2020,,,,,,,,1,1
25Jan2020,,,,,,,,1,1
26Jan2020,,,,,,,,1,1
27Jan2020,,,,,,,,1,1
28Jan2020,,,,,,,,1,1
29Jan2020,,,,,,,,1,1
30Jan2020,,,,,,,,1,1
31Jan2020,,,,,,,,1,0
01Feb2020,,,,,,,,1,0
02Feb2020,,,,,,,,1,1
03Feb2020,,,,,,,,1,1
04Feb2020,,,,,,,,1,1
05Feb2020,,,,,,,,1,1
06Feb2020,,,,,,,,1,1
07Feb2020,,,,,,,,1,1
08Feb2020,,,,,,,,1,1
09Feb2020,,,,,,,,1,1
10Feb2020,,,,,,,,1,1
11Feb2020,,,,,,,,1,1
12Feb2020,,,,,,,,1,1
13Feb2020,,,,,,,,1,1
14Feb2020,,,,,,,,1,1
15Feb2020,,,,,,,,1,1
16Feb2020,,,,,,,,1,1
17Feb2020,,,,,,,,1,1
18Feb2020,,,,,,,,1,1
19Feb2020,,,,,,,,1,1
20Feb2020,,,,,,,,1,1
21Feb2020,,,,,,,,1,1
22Feb2020,,,,,,,,1,1
23Feb2020,,,,,,,,1,1
24Feb2020,,,,,,,,1,1
