date,c1,c2,c3,c4,c5,c6,c7,c8,h1
01Jan2020,0,0,0,0,0,0,0,0,0
02Jan2020,0,0,0,0,0,0,0,0,0
03Jan2020,0,0,0,0,0,0,0,0,0
04Jan2020,0,0,0,0,0,0,0,0,0
05Jan2020,0,0,0,0,0,0,0,0,0
06Jan2020,0,0,0,0,0,0,0,0,0
07Jan2020,0,0,0,0,0,0,0,0,0
08Jan2020,0,0,0,0,0,0,0,0,0
09Jan2020,0,0,0,0,0,0,0,0,0
10Jan2020,0,0,0,0,0,0,0,0,0
11Jan2020,0,0,0,0,0,0,0,0,0
12Jan2020,0,0,0,0,0,0,0,0,0
13Jan2020,0,0,0,0,0,0,0,0,0
14Jan2020,0,0,0,0,0,0,0,0,0
15Jan2020,0,0,0,0,0,0,0,0,0
16Jan2020,0,0,0,0,0,0,0,0,0
17Jan2020,0,0,0,0,0,0,0,0,0
18Jan2020,0,0,0,0,0,0,0,0,0
19Jan2020,0,0,0,0,0,0,0,0,0
20Jan2020,0,0,0,0,0,0,0,0,1
21Jan2020,0,0,0,0,0,0,0,0,1
22Jan2020,0,0,0,0,0,0,0,0,1
23Jan2020,0,0,0,0,0,0,0,0,1
24Jan2020,0,0,0,0,0,0,0,0,1
25Jan2020,0,0,0,0,0,0,0,0,1
26Jan2020,0,0,0,0,0,0,0,0,1
27Jan2020,0,0,0,0,0,0,0,0,1
28Jan2020,0,0,0,0,0,0,0,0,1
29Jan2020,0,0,0,0,0,0,0,0,1
30Jan2020,0,0,0,0,0,0,0,0,1
31Jan2020,0,0,0,0,0,0,0,0,2
01Feb2020,0,0,0,0,0,0,0,0,2
02Feb2020,0,0,0,0,0,0,0,0,2
03Feb2020,0,0,0,0,0,0,0,0,2
04Feb2020,0,0,0,0,0,0,0,0,2
05Feb2020,0,0,0,0,0,0,0,0,2
06Feb2020,0,0,0,0,0,0,0,0,2
07Feb2020,0,0,0,0,0,0,0,0,2
08Feb2020,0,0,0,0,0,0,0,0,2
09Feb2020,0,0,0,0,0,0,0,0,2
10Feb2020,0,0,0,0,0,0,0,0,2
11Feb2020,0,0,0,0,0,0,0,0,2
12Feb2020,0,0,0,0,0,0,0,0,2
13Feb2020,0,0,0,0,0,0,0,0,2
14Feb2020,0,0,0,0,0,0,0,0,2
15Feb2020,0,0,0,0,0,0,0,0,2
16Feb2020,0,0,0,0,0,0,0,0,2
17Feb2020,0,0,0,0,0,0,0,0,2
18Feb2020,0,0,0,0,0,0,0,0,2
19Feb2020,0,0,0,0,0,0,0,0,2
20Feb2020,0,0,0,0,0,0,0,0,2
21Feb2020,0,0,0,0,0,0,0,0,2
22Feb2020,0,0,0,0,0,0,0,0,2
23Feb2020,0,0,0,0,0,0,0,0,2
24Feb2020,0,0,0,0,0,0,0,0,2
25Feb2020,0,0,0,0,0,0,0,0,2
26Feb2020,0,0,0,0,0,0,0,0,2
27Feb2020,0,0,0,0,0,0,0,0,2
28Feb2020,0,0,0,0,0,0,0,0,2
29Feb2020,0,0,0,0,0,0,0,0,2
01Mar2020,0,0,0,0,0,0,0,0,2
02Mar2020,0,0,0,0,0,0,0,0,2
03Mar2020,0,0,0,0,0,0,0,0,2
04Mar2020,0,0,0,0,0,0,0,0,2
05Mar2020,0,0,0,0,0,0,0,0,2
06Mar2020,0,0,0,0,0,0,0,0,2
07Mar2020,0,0,0,0,0,0,0,0,2
08Mar2020,0,0,0,0,0,0,0,0,2
09Mar2020,0,0,0,0,0,0,0,0,2
10Mar2020,0,0,0,0,0,0,0,0,2
11Mar2020,0,0,0,0,0,0,0,0,2
12Mar2020,0,0,0,0,0,0,0,0,2
13Mar2020,0,0,0,0,0,1,0,0,2
14Mar2020,0,0,0,0,0,1,0,0,2
15Mar2020,0,0,0,0,0,1,0,0,2
16Mar2020,0,1,0,0,0,1,0,0,2
17Mar2020,0,1,1,0,0,1,0,0,2
18Mar2020,3,1,1,0,0,1,0,0,2
19Mar2020,3,1,1,0,0,1,0,0,2
20Mar2020,3,1,1,0,1,1,0,0,2
21Mar2020,3,3,2,0,1,1,0,0,2
22Mar2020,3,3,2,0,1,2,2,0,2
23Mar2020,3,3,2,4,1,2,2,0,2
24Mar2020,3,3,2,4,1,2,2,0,2
25Mar2020,3,3,2,4,1,2,2,0,2
26Mar2020,3,3,2,4,1,2,2,0,2
27Mar2020,3,3,2,4,1,2,2,0,2
28Mar2020,3,3,2,4,1,2,2,0,2
29Mar2020,3,3,2,4,1,2,2,0,2
30Mar2020,3,3,2,4,1,2,2,0,2
31Mar2020,3,3,2,4,1,2,2,0,2
01Apr2020,3,3,2,4,1,2,2,0,2
02Apr2020,3,3,2,4,1,2,2,0,2
03Apr2020,3,3,2,4,1,2,2,0,2
04Apr2020,3,3,2,4,1,2,2,0,2
05Apr2020,3,3,2,4,1,2,2,0,2
06Apr2020,3,3,2,4,1,2,2,0,2
07Apr2020,3,3,2,4,1,2,2,0,2
08Apr2020,3,3,2,4,1,2,2,0,2
09Apr2020,3,3,2,4,1,2,2,0,2
10Apr2020,3,3,2,4,1,2,2,0,2
11Apr2020,3,3,2,4,1,2,2,0,2
12Apr2020,3,3,2,4,1,2,2,0,2
13Apr2020,3,3,2,4,1,2,2,0,2
14Apr2020,3,3,2,4,1,2,2,0,2
15Apr2020,3,3,2,4,1,2,2,0,2
16Apr2020,3,3,2,4,1,2,2,0,2
17Apr2020,3,3,2,4,1,2,2,0,2
18Apr2020,3,3,2,4,1,2,2,0,2
19Apr2020,3,3,2,4,1,2,2,0,2
20Apr2020,3,3,2,4,1,2,2,0,2
21Apr2020,3,3,2,4,1,2,2,0,2
22Apr2020,3,3,2,4,1,2,2,0,2
23Apr2020,3,3,2,4,1,2,2,0,2
24Apr2020,3,3,2,4,1,2,2,0,2
25Apr2020,3,3,2,4,1,2,2,0,2
26Apr2020,3,3,2,4,1,2,2,0,2
27Apr2020,3,3,2,4,1,2,2,0,2
28Apr2020,3,3,2,4,1,2,2,0,2
29Apr2020,3,3,2,4,1,2,2,0,2
30Apr2020,3,3,2,4,1,2,2,0,2
01May2020,3,3,2,4,1,2,2,0,2
02May2020,3,3,2,4,1,2,2,0,2
03May2020,3,3,2,4,1,2,2,0,2
04May2020,3,3,2,4,1,2,2,0,2
05May2020,3,3,2,4,1,2,2,0,2
06May2020,3,3,2,4,1,2,2,0,2
07May2020,3,3,2,4,1,2,2,0,2
08May2020,3,3,2,4,1,2,2,0,2
09May2020,3,3,2,4,1,2,2,0,2
10May2020,3,3,2,4,1,2,2,0,2
11May2020,3,3,2,4,1,2,2,0,2
12May2020,3,3,2,4,1,2,2,0,2
13May2020,3,3,2,4,1,1,2,0,2
14May2020,3,3,2,4,1,1,2,0,2
15May2020,3,3,2,4,1,1,2,0,2
16May2020,3,3,2,4,1,1,2,0,2
17May2020,3,3,2,4,1,1,2,0,2
18May2020,3,3,2,4,1,1,2,0,2
19May2020,3,3,2,4,1,1,2,0,2
20May2020,3,3,2,4,1,1,2,0,2
21May2020,3,3,2,4,1,1,2,0,2
22May2020,3,3,2,4,1,1,2,0,2
23May2020,3,3,2,4,1,1,2,0,2
24May2020,3,3,2,4,1,1,2,0,2
25May2020,3,3,2,4,1,1,2,0,2
26May2020,3,3,2,4,1,1,2,0,2
27May2020,3,3,2,4,1,1,2,0,2
28May2020,3,3,2,4,1,1,2,0,2
29May2020,3,2,2,4,1,1,2,0,2
30May2020,3,2,2,4,1,1,2,0,2
31May2020,3,2,2,4,1,1,2,0,2
01Jun2020,3,2,2,4,1,1,2,0,2
02Jun2020,3,2,2,4,1,1,2,0,2
03Jun2020,3,2,2,4,1,1,2,0,2
04Jun2020,3,2,2,4,1,1,2,0,2
05Jun2020,3,2,2,4,1,1,2,0,2
06Jun2020,3,2,2,4,1,1,2,0,2
07Jun2020,3,2,2,4,1,1,2,0,2
